Gene_Symbol,GC10_P,GC10_T,GC01_P,GC01_T,GC02_P,GC02_T,GC03_P,GC03_T,GC04_P,GC04_T,GC05_P,GC05_T,GC07_P1,GC07_P2,GC07_T,GC08_P,GC08_T1,GC08_T2,GC09_P,GC09_T
RP4-555D20.2,0.949285894475509,2.17551816208004,31.3095794319027,6.12076778445832,0.835715145084619,4.01187034897817,0.0,0.0,1.06843137857648,30.9459183374907,5.94320449339015,11.1974909552049,5.20503672528061,1.69059213761927,2.90107814789521,0.0,0.737487555428062,5.24163435598719,4.64724596259059,7.39564598288415
LINC00589,0.0,0.524297900709239,3.81444915333163,0.807237177337183,4.59213320866308,7.88252132675475,0.0,0.929564731900594,0.991140904459263,16.8170186309362,1.57677082377085,3.50067679612516,9.42026592329225,6.30390159189961,5.45456921940079,7.31305171611831,3.41179181992044,1.30093697187685,1.72946268326309,8.46580666437897
AC002511.2,5.69727857728439,2.81043185182923,2.22570762404733,0.0,2.22335593681241,1.43815860853196,14.6030942552148,4.06727094486884,14.4920995516173,15.3806807102403,4.14050336463321,4.42110000228595,5.29118456276199,11.8643840920778,0.0,2.84430562155789,0.0,0.0,8.2655882568142,0.0
LINC02325,3.59000192128322,2.98354653943066,3.31573940295109,2.71355251408401,13.6792241339844,3.21998454923687,0.0,6.92099979672292,0.864806407907775,8.93086714747588,5.55832284116122,25.795098850648,0.0,2.74734225320791,6.09909933659448,0.81276742298004,5.92073962362821,8.3316957995412,2.15807865118819,8.37886552588584
RP11-595B24.2,7.94522351053689,2.09777893883503,5.54870320848932,2.4556243139028,4.44775381446373,2.87662131272887,1.82225385930639,12.1805873468446,6.20470191676106,0.0,4.13593154663899,1.76718304243879,11.8849837588787,22.0010310706487,0.0,5.68521016004204,0.701044968073881,3.23118126811277,3.66894512329373,0.843608083876961
NDP,10.4370976455102,0.0,1.89145156939096,1.70818846964423,3.24734449721297,3.12241316160571,1.75985358374063,3.91846323232943,1.04707077330772,0.0,4.9956825934324,7.29956930707686,2.56219145644672,4.98696989633055,6.69428610576981,4.92254011209245,8.48448594120498,0.852212539533572,3.65072701098264,8.1057603233871
RP11-277P12.6,5.92381563396814,9.19447830497845,0.0,20.638988706032,0.0,0.0,0.0,1.99651962105896,11.6503517179801,5.90089981547706,16.0168300492817,15.6416266248173,2.60846426043524,0.0,3.91938501064981,2.9753600134632,0.727950228993851,0.0,5.55462770166252,11.5848596797427
AP000662.4,0.0,2.49759018084206,9.02474257377953,9.92427425604139,0.91853724580917,1.21232773039847,3.96973269766563,6.03935649568108,6.65781006749951,9.31788650953035,2.82010966137248,0.0,3.9506119824402,6.41265204051777,2.94103767001364,0.0,1.62998481788338,0.963310089123334,8.45682678444173,12.1232719115468
AC006116.28,4.7704605843064,0.0,9.11884976230576,11.360681634523,0.0,3.20449569099721,5.36744928061485,5.97532737293625,10.6869059439877,53.4355049377244,0.849375261733096,4.66421266151548,0.0,0.0,0.0,0.0,3.68672000609892,2.61848769631508,0.93012908669173,9.8790245705696
TOMM20P2,8.05815486110499,5.00663040361353,5.57113208305315,8.80020629180974,0.0,2.79049055081408,5.41752255754865,10.0633612131624,1.01620836576042,0.0,6.51270082758282,10.3860082887683,1.30832542171482,0.0,4.10025768620036,0.926850139816476,2.74602946316141,5.51357665777176,0.904545983250009,0.836399229224284
RP11-232L2.3,0.959362350353157,3.30999133781411,0.0,2.61596888900463,8.30752510240533,4.78978907224392,3.58066147904496,1.9931220158243,1.06753442640227,10.2086312384658,4.24323578803869,0.0,0.0,0.0,0.971306195811389,27.1343803830508,27.235982622188,34.8217037769948,18.5948457432157,4.94494666657289
RP11-305L7.3,0.0,0.0,15.8151797336534,14.1841543077245,3.69062271024258,5.91531169954995,3.19856908996537,0.0,0.464445051559122,7.3897621501059,1.86573332121388,11.1595277840501,1.19490005393098,6.52225987465767,0.0,3.69947231700972,0.337318733663561,4.70072712524377,0.830549364018579,9.06830362185611
SCAT1,0.0,65.0565893775728,2.37579308934952,11.0548592500413,32.412007209931,38.266450601892,0.0,0.736809865850419,0.0,2.69894911075036,0.442521864963798,2.13463176415041,4.18751361839031,1.76520779609756,19.8551072516018,0.0,4.81802610526246,12.5907033701494,7.4672830014004,17.9341601906034
TMEM72-AS1,3.08557790932174,3.12849222486411,1.83193270157002,9.23122483196057,4.63781573945185,8.59922897932324,17.8123700456181,1.14074153255462,2.71502582930806,20.9017504975985,4.3169851251875,2.31192083034277,1.65854914286509,7.01729692148677,1.23635109661237,0.0,3.7539329880661,0.0,3.75836067641243,7.90887367572149
RP11-504G3.4,0.849507966475835,4.00172161307903,3.54090556023694,7.76372814136682,1.38671727279348,2.09766740994329,3.0751456593037,8.5257291055887,8.16339849236504,6.71369718611098,3.29261597058083,6.46618421747539,3.74239427864026,1.44788449323489,0.840896242583235,7.7302436500471,7.31589149318626,3.33144761867799,0.793194116054625,0.0
ADRA1B,1.91517876383142,3.30210532632364,12.1796040341874,3.48826235965473,0.831209107010069,0.798637452488766,10.7352397354885,0.0,3.20199430324961,10.2207730188845,12.7265679673672,7.44910972894908,1.30287468886886,3.3832923136968,35.904080428036,3.01509801927912,0.736077779381541,12.189992892241,14.8705576497109,4.11774602994305
SPDYE10P,0.0,3.36882116597441,4.12688014599806,21.656776754128,0.0,0.0,0.0,10.7333946207576,5.40797259367693,21.1263038667213,3.4396972963599,7.47997721974536,3.77898843490254,3.43144617014554,1.97129540114738,3.05309730121337,0.0,1.76261363402466,4.71156158925631,4.04114680424877
RP11-152F13.10,13.690924215436,5.25451918608131,5.59478830935027,6.60943130632493,2.35900342491673,4.53489309237871,1.96645650762729,2.83696206404173,1.17031847333013,0.0,1.60926903636384,3.059901862774,1.23688259347016,8.02717430399124,5.53393086004705,11.0056181976334,5.58100164778104,3.81102382020979,0.0,0.0
LA16c-313F4.1,1.93441136394546,4.46331667159983,3.0619425050651,6.08530881925085,6.60820429944804,1.58864477298701,0.0,3.99057321445278,3.1979277858698,10.1135444001875,4.23841857972154,4.643937793383,1.30461408796791,6.77081210607918,2.92250474719877,2.00418882470233,3.67200425243486,1.73468343135206,2.7878411993822,4.12780464670193
LINC00475,16.9617234695218,11.7192961256088,2.36826289902965,31.3992984832785,12.3982889769873,4.36976373361856,1.8805083432816,5.89312811996169,0.0,0.449473578577259,7.39517933114758,1.90768267776239,0.0,3.53261561248771,2.45103220529736,3.33351794571018,0.161851516000972,0.0,3.63913598944378,11.3335501011077
C9orf131,3.49314027199093,0.501214600114678,12.0528759326282,2.39772864751589,2.28811213134797,4.39549255206869,13.0943343940962,8.19974646610227,1.95501372123263,26.3028289379514,3.10768948186379,4.26591828496771,21.3007939422399,6.1926672445074,0.0,0.0,3.37194878453504,0.0,5.10496192389703,1.50636237324268
RP11-426C22.3,0.0,11.1880714277756,0.0,6.0924823136228,0.0,6.36080116225998,0.0,2.99773957243598,0.0,4.0475661364956,17.8258707746036,9.29932540898071,7.83999858556574,3.39051968579091,1.95184298204957,1.00329456499981,2.94128871208739,3.47323169252117,5.58372873327668,6.61552259839408
RAET1G,5.61803436017903,14.6264005926913,1.25487999691814,7.38851703552657,1.95813878212495,4.72511798514493,1.70783284043523,4.36441268556017,3.03047312057419,1.88434472348572,2.0426880455005,0.0,1.58278353467406,5.91431690177206,79.8099921591178,1.19985425287005,3.83223907388157,1.50504903656082,7.29715187463027,4.72676162913919
AC092171.2,0.0,6.61653709059663,7.38924719483569,3.44609005566869,4.03264451666804,3.11359881001481,5.45457394724317,2.0243645586723,1.06596424676789,5.80924141557859,9.34105524706823,2.76942708774597,1.32122715246952,3.41642920412336,0.0,2.98240352518918,5.11595085478331,11.9918413860497,4.67137350755386,0.0
CD1A,3.85379242481956,11.1042421260321,12.21432375757,19.9854799966726,8.26318324690829,12.7108942314295,0.0,1.99185105552804,1.06497100326693,0.0,2.54040093071894,6.49751301060075,0.0,0.0,2.91581093430386,3.00474645701231,16.8797393488422,96.2495812996558,0.928130320115848,10.7117900638029
ANKK1,3.93392272693689,0.0,1.66809538593544,3.58411953341176,1.36662160963541,12.093853788321,0.0,3.27403481493029,0.0,5.04202247765877,2.78940219519322,19.185372852424,0.0,4.17100079749453,18.6828211300267,0.826114878346066,3.63016160985949,13.5988732252602,1.52776888641342,6.7681998360217
VAC14-AS1,0.0,8.02959657348345,16.3327899860303,6.79570679343545,0.0,1.1672831509284,13.3358619725079,13.3007218537365,2.7211494060861,42.5586224583908,3.21468745379419,2.94407507194351,6.64359857618855,0.0,1.42118858378298,3.63553236099237,9.23169866661586,2.8402113048722,5.27891479191912,0.0
OR7E126P,0.0,8.79004202172962,0.0,3.45455939730221,2.43754097996142,7.83349955803016,9.04278845739173,11.07489489826,6.392418568669,7.85248492143056,3.39301032955107,1.84903721291904,3.94493368917885,1.70216872364451,7.92102091364783,0.0,0.731618082561286,0.0,5.59295138249455,0.0
RP11-680F8.3,0.971350047936362,7.29631760130248,7.16058833284679,1.73564844200782,4.94060922948236,0.792130738311359,1.79306620941341,6.98683173014682,2.13006740624355,4.02495560444119,4.23540663634044,3.70974808108608,5.2200306175289,3.38533202759068,1.95120693056606,4.00182395035554,0.733415286735015,3.46220036937435,0.0,2.47868060866257
AC024592.12,1.32726127638896,4.029677797814,8.28163214640287,6.05911868499029,4.60992311109425,4.54260906619345,6.60726290969798,4.90564271888097,3.79043503515814,0.320362668513713,1.00912621545986,0.0,0.0,2.0528082010302,2.46163653762115,4.65746980818691,2.57955499859701,13.9478250366697,1.11605500921458,3.0570378640476
SYT9,12.9543453977881,1.85876218964198,2.29221161095619,0.987994504481942,3.68758902500028,13.7877947820405,20.5305236994877,10.5894265496538,5.66353698715936,25.4647914732282,5.25105644663681,1.05467437581546,6.90162058757095,22.4129608009593,0.0,0.0,0.0,0.986740214616126,3.15528669327093,0.931056977080657
XXbac-B461K10.9,0.0,3.47331768591363,4.1516925182544,2.59670417981336,0.816396014193435,0.0,3.61068720250508,4.0200309494296,4.26452044665564,13.8538417485013,3.39433067581783,3.70450553417929,1.31302570987011,0.0,0.0,3.99307339215182,15.3873537167969,3.44828774003648,1.86389103134172,0.0
TRIM40,1.96914843688887,3.33921537418929,10.8747949095239,3.49969264637761,49.0340548521793,42.9730722408409,0.0,0.0,0.0,0.0,4.09018336620435,8.63602115957759,10.6214974800525,3.50768582307898,0.0,27.4153297388239,2.36412618897609,0.882540442250527,96.4825613539802,0.0
RP11-697E2.13,2.07689161050227,3.16141858178521,2.6011952465475,1.68325462219048,8.73715469360418,5.02443944899402,0.0,7.00963007114349,13.7914756104106,7.91965905376718,3.81703061600447,6.78612049718395,5.15475289657513,0.0,0.0,0.0,13.7838751074297,3.66411082034994,1.19423032638227,3.17069132946924
SBK3,1.63891106168761,1.42344635492858,1.72164675003322,5.81395453896857,2.06517527060836,5.30020662982745,7.52803203526848,12.9925918626734,4.46408836283786,10.0710191521618,3.55129259888297,0.776929369713303,4.38229652699601,0.0,3.28083806969864,0.0,11.0937452980675,0.0,5.1709768538412,1.38811782363205
HNRNPA3P9,2.97500610157228,4.04244411078451,7.24271688141074,6.89775965853436,0.813029450250822,3.13370031881481,7.19637465311447,5.00761876496829,5.31086969104098,5.91083830649098,0.845456193784355,3.69035475389571,1.30844032815091,0.0,1.96666416903482,2.98327402193448,5.83959440247664,4.29342971671712,1.85714396321315,0.830271424039546
RP11-218L14.4,4.29205520963921,1.93480364370744,3.23738835779454,4.20592201571752,2.32658680177281,2.25139448268,0.0,3.03890888734235,0.0,10.9658949252056,5.87019606824541,7.23419072920667,5.28056060780864,0.0,6.06761481695406,6.80431951301734,3.58419692252798,0.833522629109264,5.55563386850354,0.841602180692498
RP11-512C24.4,0.698092263682461,6.85857689465776,0.829794541584243,4.85567669262347,4.74965468397144,1.81584833635698,0.0,0.0,7.44151613560936,16.1533243260736,3.95701100647788,17.0515799170423,4.26313959785042,0.0,11.7109754013013,2.31866133852273,0.602424862293392,1.31931292314099,2.8571213332187,4.04150362585745
RP3-436N22.5,3.8684304148346,0.0,5.10782058613408,2.61546799926795,73.7785963517167,65.3545749308553,12.5679393004172,11.992928086411,8.54866522054606,12.1912536040525,2.54905229915216,2.79396739536151,6.53519100736529,5.0883581990865,0.0,2.00983921025455,2.9454571173204,0.0,1.86263227691984,0.0
C22orf15,1.59044424423504,0.610381838678219,3.27733378881622,0.0,0.913626845749636,4.6072624862762,8.49211332881334,1.64796442462452,5.84157670646908,1.1212314788372,1.40225303684029,2.63656567593325,7.88955579594408,3.53583816942593,37.3795715304107,33.6340432501477,3.08542146720972,5.61712134480809,5.30146334542229,7.74031225569089
RP11-111A21.1,0.0,3.15454005371831,6.98578036279597,7.48769576945598,3.39515120026992,0.0,7.98561057220633,4.44767800963654,1.39608076842724,33.8410131696418,3.05680275987274,1.67868116689683,2.21970025940194,2.88016209584934,4.48223955439581,4.72991901494242,3.09398692107502,7.90568888871382,3.41391367724862,3.96233947997512
ZFP57,7.4016578580154,9.76294785200535,0.0,4.74484795660225,0.0,0.0,7.82993984671817,22.2906108237338,0.0,2.20618497417618,0.0,0.0,0.0,0.0,2.33776553296194,44.6042210397237,43.6140692612691,101.644930195243,4.47122828516289,25.4762259635914
FXYD7,1.12661940157863,0.0,2.78964827494671,3.37200637701351,0.470875599873025,0.0,3.97688852489306,5.91493921481488,3.99652897176418,3.43460421422562,2.20914151955167,5.6239396454381,3.64250416937066,4.09639241171996,0.0,5.99189275815305,0.0,2.79866921734641,6.12196831411535,3.67646944708217
RP11-881M11.2,6.01337041958446,3.5238760437364,8.30333423919981,3.41167679687189,0.800383633922009,3.08837314659517,14.3468221358371,8.98505786880811,8.43053228111154,0.0,0.0,5.48111552644193,7.82113130766388,8.43146028425556,2.95080943811609,2.95210152680462,0.0,3.39388463876713,1.84570993035954,2.48512718383183
RP11-477H21.2,2.02598077020597,5.97071480509794,3.12567788701111,0.845581851632927,0.0,1.52566833410785,7.1598527644806,5.97882075530402,2.09495910122715,0.0,1.6692709029156,5.43854721007248,9.10326201823652,6.72216756944027,1.9697030045447,0.0,15.7901785629579,13.4457052262158,3.67480043695091,5.79131579829022
FRG1GP,0.0,12.5446033027622,6.30741530499112,9.4631127642392,2.41837736803718,1.55574027444831,1.81292803953123,0.0,13.8297970682411,1.93774852368409,3.38958165300932,2.76496681654417,7.90516538707532,3.40767247069334,3.98155886981306,12.904315190648,17.5106011437747,11.9772286672215,0.932092775225485,3.35035574981882
FAM163B,5.65261822027417,2.44558517894769,3.11151884410801,2.67626649271059,1.75324737072028,3.67740787891811,18.5097347638733,1.52729510989118,20.4803216623325,9.08277570175703,17.5705304740965,16.4297116737171,8.66530918359923,7.50160091688279,0.0,0.0,1.12934941741121,2.67235859210498,3.9831966650692,1.77663159076479
RP11-336K24.14,3.30562721796043,5.26125771793264,7.64231759893973,3.47964659149224,0.596681987065361,0.0,6.72455956931315,0.721858519639948,10.4651759670807,14.3536250837523,1.22603272161007,2.29845425891405,3.77558037288339,4.38403377057163,0.0,0.724370608746005,3.94443254065944,0.0,4.03278261606118,0.0
CTNNA1P1,4.78405345381285,9.89302187559113,1.01479228099876,10.4763650091982,2.49753292407071,2.3993679397318,0.0,6.97425457564835,0.0,2.04865791669597,3.39638096702501,5.5925081556003,0.0,3.38516174277825,0.0,15.0916932695476,16.9463716478814,6.97417519800039,5.580165475903,0.0
MAMDC2-AS1,3.65413265646703,1.5071880356781,12.7416561672917,1.04927298717103,1.35709491134322,2.14836022895106,21.9842456490646,7.14202480977125,5.81003724875989,17.5930681322821,7.14929823222114,3.12487185498843,21.0612821700252,4.13411730803355,0.786537942985624,1.41200663215683,0.0,1.39705901232703,2.24794724377936,5.28326375129978
RP1-199J3.5,0.0,3.59709820573798,2.10189403528502,4.28386466204081,1.60356012272182,6.96491458742505,7.2369803616471,6.04321514057693,3.18100179586389,32.7097929641481,0.0,1.83625332557054,0.0,10.1974995547925,6.9603781894196,6.9207864639272,0.0,0.0,1.85892911941743,4.18035849882894
RP11-1289C17.2,0.963486369092813,5.54992939102267,0.0,5.22192782216444,0.0,5.57139262342093,1.79099338797675,3.98777016231162,4.26574194963864,6.09206199380591,1.69585304227031,2.78889225581158,0.0,0.0,5.83607140422585,2.00631188876612,6.61498817261636,2.60572075667267,4.6464113080613,8.24754754948693
FRMPD1,3.79635843301401,1.08756511378452,4.03897023968123,5.24473919582884,0.0,1.60421890483718,3.57189571980026,2.98228307411815,3.20434479848094,12.3737637926574,5.9414625152391,0.932838401890214,7.80540601328684,0.0,3.86711850179849,1.00721659128473,1.47452623183315,27.0731848358632,0.0,9.8582341731818
RP11-278C7.4,0.0,5.92172571457693,2.29803586563275,0.818855623257904,5.13093535538496,0.0,9.27599141555937,3.10201328465493,3.12477216848432,16.6973082320561,3.33946531123041,2.65927172206758,6.72153310760211,3.43655430355739,2.10989270880906,4.74429113103284,4.9209614885995,2.41694742883568,6.49836190644391,4.29832182915371
RP11-58O9.2,2.89642546341784,5.56621660509689,3.05840893536055,14.7800293018529,5.785304732679,34.9649030376758,0.0,0.997045408075728,0.0,2.0250378613725,2.54247665907222,3.71518185573615,0.0,0.0,3.89311978586325,0.0,40.3909618146258,6.94013316054712,3.7158828218084,16.4996129777241
RUNDC3A-AS1,3.22338149448747,1.70377476293533,8.59626519823956,9.14035472958305,1.30953688231125,9.13067183573384,31.4275236308454,8.35792871469489,1.11601190841943,8.62145227731809,3.54732781464679,4.89815090634588,1.3591337919858,10.1439787467265,4.20881242786012,0.0,1.15551987637588,0.912560509914337,1.4562259066656,0.0
NOS1,11.1933268520907,0.98505585150952,1.79349944275121,0.797762543414087,1.52712181235382,2.93126381971308,19.5157200888548,9.05225600024747,4.86982107017298,35.885195159326,23.2148137211756,9.36216989405883,13.0329360353047,1.5397963377437,0.879480019039235,2.64355728479296,3.8381727135531,0.0,7.62153103819265,0.0
RP11-527J8.1,1.04641191811122,4.97620279342072,3.19699095586115,3.39880551091937,1.57844040961078,3.81406825369048,10.8951586416157,4.04364227846269,4.22605938071555,3.75316526567394,3.36948134701935,2.73587861880441,11.8665731882849,1.70116322542149,0.0,1.96230084116399,9.39225596687749,7.58987252841617,2.78562796691388,3.35881287718795
RP11-167N5.6,1.18921018622332,4.44194734597756,6.88889283873535,4.89994662566801,1.46106627251448,3.55125584758252,0.0,6.19361635331018,1.0391458973392,1.6629479820041,2.49914598708444,1.76839576832807,0.0,6.86059294188268,4.21446194209712,3.78558288133223,5.60961907366769,3.21349156683014,2.77948333684325,4.29154063011205
RP11-542K23.7,6.26302090409446,1.25027215217754,16.1085483835187,67.5159258182813,4.5320549783264,2.47307189941993,1.70135895611616,1.42051593720946,2.39538525732089,3.92895397788726,2.82998500091929,5.68382968180689,0.619641570338994,4.8513348492542,5.59299958441366,2.81214531788669,14.2608825249041,8.65650927709352,2.65549111691991,0.782612738469519
SNORD3B-1,4.04395065472382,4.15908271276061,9.3907142240105,2.55642053892622,0.797932144699114,2.31019947233844,3.5954863703354,1.00080338023879,3.16263293175503,9.58170984181612,8.39801910419648,28.304762257363,5.2256254370314,1.68915604680846,1.97515188265469,0.0,0.0,0.0,10.1628731784623,5.81469628173851
TRBV6-2,10.5743159544932,2.18840945681411,1.13805152320643,4.91632269815936,1.47205321125199,3.57519859956552,0.0,5.14581391465506,2.08038932763127,1.68323310771805,3.33280239419938,4.43107370272488,1.33809312099507,3.42339893745545,0.0,0.0,3.5149141906973,13.7173307036924,49.9791762788669,27.3731359519817
WDR93,3.85296415476956,34.0311180203864,0.855518877142109,0.0,2.61655818787237,0.0,9.5232109654698,0.0,1.1234553475361,21.58815835037,2.50088224723597,3.68079164742529,0.0,1.86686287061535,31.4794520271069,6.72707949208695,4.01665628811082,6.45156574384462,3.07530589970232,10.5500136002779
RP11-1070N10.3,2.9641296355649,0.575161580536463,3.09410492551688,4.30102585349633,8.92509022104435,11.7265450218042,0.0,5.99228375347635,1.0594974617503,0.0,3.37320064131689,9.20381833488393,1.30480997835831,3.38013506285951,10.7839853448972,0.992080382005099,1.45636543141078,4.28369643795038,5.55679927642725,12.418255792716
RP11-439L18.1,6.09621992277739,2.79579803475051,0.958893212871742,3.2946940063728,2.72121439215575,4.52561280124911,0.0,2.32775527176758,4.27022448162843,11.8823448033013,3.45749250732761,8.89981362202763,0.0,3.9519982178332,0.0,0.0,2.08574899860423,4.11189305755754,4.34114335275507,6.3806243989323
RP11-425L10.1,4.43232882461208,0.67413554772085,2.19818785350497,1.67013425639213,6.87140523142142,6.65745818693962,0.0,0.0,3.14606500913534,10.691048229349,4.18855864222865,3.59737396650593,1.32735828404458,8.5269444553331,1.02416588052575,2.8970589922968,2.13998492494421,4.95546461085925,4.6339898990633,4.23497573273489
AC021188.4,0.0,5.41324713816293,3.16086218283385,9.44175485326987,0.803056599352075,2.32545461402584,7.25302575829899,9.08495550710079,2.12487445336637,5.77974968786346,3.38573587898016,17.4772076433433,1.31756660724872,1.70320003111801,0.996722142217735,4.952582408716,5.82631332785875,5.1196846500412,1.86278172038283,3.35181469794315
RD3,3.02995377118726,0.579778217345854,3.70549797957257,6.46615434501097,5.34242984002278,10.1591173616574,0.0,4.55382445964947,1.12987578434998,11.2862065433354,22.5302461608144,35.8403081471797,2.75608617839498,5.36898181883994,0.0,7.36997772128476,1.55893996440244,0.922528945335679,0.983506549775366,2.61224422270801
AC023590.1,0.773187643844333,4.64684113550801,9.13271585208701,12.3867514202603,0.663253586922202,3.59964758054209,5.25957331393709,0.799322500456171,0.0,6.48605472594928,7.26537214716989,3.13356198858606,0.0,0.0,0.390025621876715,5.18892039984934,0.0,4.04632857318331,0.0,12.3809218181334
RP11-680H20.2,2.62005595700438,13.1131082494692,3.74513882824283,4.71806644806311,0.382534482350213,0.0,0.0,0.0,0.0,14.1459951432398,4.3191258224516,10.2459605413501,1.19404590005798,0.775482449462539,13.490498052625,0.0,6.87701960009655,9.94938896237431,2.98370137839033,10.1988615096234
MYO3B,0.0,1.67459601850384,1.87413179835635,7.56531811617761,3.28818776748102,3.78793053284388,0.0,4.61349539254371,3.3605699407829,22.1860217495984,4.6730726280375,3.36796344932096,0.0,5.43709235617836,33.462698285796,1.25716377796581,0.0,3.24322659004521,4.31259632760465,7.35551122132856
RP11-111J6.2,4.00780275656043,3.5213533850332,1.03816378987923,5.1236366869631,3.20644324579647,0.773217585555804,0.0,4.99512427145127,1.05487515847433,0.0,4.2004182766151,3.65820230831983,1.30445171710363,10.1258034379064,2.95211476896888,0.0,5.06707158883899,2.54865151760149,3.69467323548187,4.97335287953163
IL24,1.01879307132644,4.16114782489627,2.14952050224246,3.65950631715438,4.34560184769934,23.9216161053822,0.0,5.25129715241311,0.0,2.12762102862344,2.67669811631458,12.7073717934752,8.24030479200383,0.0,289.275972493111,0.0,3.06707584649704,40.8646153591937,0.0,15.7390192994756
GNRHR,0.950090661349369,0.544577652566595,7.07214562833195,10.4848733866543,3.33906061564002,1.60309139513578,3.57231112374012,2.98263907388233,6.40725921146303,0.0,3.39451264463129,2.79748505111859,10.4079944899319,3.38021536298421,0.0,7.04759542383179,5.89610219139729,2.61861161664744,3.71638316166144,1.64337057360228
RP11-478C19.2,0.0,13.3350685604532,7.25613728692515,14.6528800335734,3.24858052832266,4.69629873916023,0.0,3.00719858829895,9.56083506642486,0.0,0.845642850688744,11.9914718289024,5.23784438813334,3.39132855847583,0.0,0.0,20.4362230111935,10.2989691533137,1.85790428874312,3.324533230577
LINC02656,4.78879665965409,2.75269033191142,9.13452610386041,8.71707184505971,3.32300270162354,0.798227224760217,1.78886015059536,0.0,6.40189632368956,6.12788988481872,3.39270091903933,13.030945002496,10.4208124059639,5.07371284269126,0.970288568997118,0.0,1.47160764944758,4.35163473047808,1.85830698998388,0.823417407065351
RP11-767N6.7,6.3220040581366,3.14330853065338,3.2057009887109,0.845614379384635,0.783464112579351,3.78770575059909,1.81438940265573,3.03038863379036,3.15917854185596,3.71460510699353,3.35951155493029,3.63221955719962,13.171069382763,6.79297877240058,4.01857164384527,5.85999374042775,2.15861717621656,3.35521762193736,3.70531936144904,1.67833619442811
TMEM52B,2.30162532247919,9.54444608246807,0.813412725436744,11.1886344823461,5.68674045867089,18.504426324628,0.0,2.39507793497043,6.33433812128532,12.4392379404564,1.93332271371861,3.73314407891225,1.04443780616831,3.8538622193266,36.5452908367557,0.0,0.0,2.04075856389873,2.98050100709875,36.3820956046897
ACTG1P17,6.95422911590036,0.46642469310412,5.57536190004149,1.09036673128228,0.0,0.66420889275201,27.3322367693243,15.6354071932285,1.33698407260673,2.53721648437954,3.94726205726435,10.6473312220264,10.2857180259204,11.5324861537022,4.34787154729967,1.67584688751438,4.18989581028782,1.08788216879025,2.76150973336555,1.80625938690822
FOXH1,2.89853230354324,10.4289392165927,3.83255687315649,0.0,0.0,3.60067361917166,0.0,11.5009847319312,0.0,10.2700949756885,2.55542758009579,2.8024132814192,0.0,3.82397403528068,0.0,7.56063938219778,33.8008642194525,6.54733091303856,6.30060541819532,3.10530198964913
LINC02367,6.56277811756713,3.58369855476636,5.23717509675804,9.8930471514012,0.345205624471901,1.10070323520031,13.7170100058714,4.57520080989397,2.95857080045587,21.3607548479127,3.32137672416803,8.60962175935304,2.15587398598033,0.0,1.75829081099612,0.0,12.7011109481393,3.24517828114505,3.11073043117585,3.38449784921405
RPL12P16,3.30874236906804,2.01297416099004,0.0,4.15586192181959,7.59928563729691,1.47253508349556,1.82198754718682,0.0,3.1313917967957,0.0,5.00282790136392,0.0,7.92700499830111,3.39486995235374,0.0,6.72827666294082,12.7800243538105,5.75441110863261,17.5270326817965,7.58740293512477
STON1-GTF2A1L,1.40105875700172,0.0,3.7254776599836,12.3152751543738,5.34513562549775,2.9767736278399,0.0,0.0,0.786113834718367,0.0,58.7986967464068,4.85050526144927,17.0302058112717,0.0,16.7708039801929,4.03237608735925,2.95229424119237,0.0,42.6696529987742,5.74622459074702
GS1-279B7.2,2.02721837211815,14.8979199904544,6.27396477144535,0.0,0.798783111712451,8.4802621709326,5.40283389388031,6.01547607569794,3.16742098003743,3.83541067320421,3.36439986040482,0.0,1.30868997702242,1.69198294165067,3.95814424894112,4.92317597269339,5.79100065182116,1.69672681047638,0.925386149848296,3.32874877215846
MEIS1-AS2,0.844068946497715,0.486405779881938,5.98376451537579,2.20362428126914,5.24481455988572,8.38437765757091,3.66419980990335,3.00349926002601,0.0,3.02874728175338,9.21333067874287,0.0,2.09242679608351,1.48091779802437,7.03090262488302,11.4081446569876,1.15284489027395,4.04641565032789,4.48481098191264,7.06972868186675
HOXC10,0.0,584.000339581804,0.632239020536473,196.839250577849,5.14672809085897,12.4974077530129,0.0,6.81085615123146,0.0,20.8331619511837,0.0,1.57271746132224,0.0,0.0,163.721801705678,3.61814244127143,0.0,4.31828220319,5.11488680294839,3.07311921692993
IL13RA2,5.10852663496402,0.0,0.0,16.1594064504745,12.4222857455448,36.3430455440677,0.0,6.70137188814354,0.0,2.99078099372417,2.52554732487515,2.17354298257128,1.6933607542622,4.06456304419605,222.963413677955,0.74521513951788,17.0883907915611,37.7099360550658,0.0,3.69906557537651
LASTR,4.01931272673705,10.3628573903344,10.0599635943127,1.44195947238255,4.70125141957369,2.46268174456012,2.87143688439191,0.962205017092714,0.0,8.39052279647564,2.69948096470506,0.0,0.0,0.0,3.81807382883079,6.86250412363236,13.9680824826746,6.9236656221995,3.82028584869802,1.36450959247402
CLMAT3,7.5944240910543,0.0,3.28296143023867,8.90065145467771,1.0517100653755,3.03824591577015,3.65533591557476,1.27555225787476,0.0,6.50420975300664,1.69981271563014,7.73333442624749,8.31297929000887,3.40633241950117,0.62210511577433,1.28415558575552,0.941249075249673,5.54336629253798,4.18213280563099,4.21552526652658
